# title: 基本
# category: 一般
# 標準の単語リスト。日常会話ベースの長めの文章に、ビジネス・小説風・豆知識・早口言葉など長短を混在
# 形式: 表示テキスト<TAB>ふりがな(ひらがな)
今日は久しぶりに晴れたから、洗濯物がよく乾きそうだね	きょうはひさしぶりにはれたから、せんたくものがよくかわきそうだね
そのラーメン屋、並ばずに入れる時間帯があるらしいよ。	そのらーめんや、ならばずにはいれるじかんたいがあるらしいよ。
充電器を忘れると、一日中ソワソワしてしまう。	じゅうでんきをわすれると、いちにちじゅうそわそわしてしまう。
人類が初めて月に降り立ったのは、1969年のことだった。	じんるいがはじめてつきにおりたったのは、せんきゅうひゃくろくじゅうくねんのことだった。
このへんの道、夜になると街灯が少なくてちょっと怖い	このへんのみち、よるになるとがいとうがすくなくてちょっとこわい
締め切り前日に限って、急にやる気が出てくる	しめきりぜんじつにかぎって、きゅうにやるきがでてくる
新しいイヤホンを買ったら、外の音が聞こえなくて少し不安になった。	あたらしいいやほんをかったら、そとのおとがきこえなくてすこしふあんになった。
宇宙の果てには、いったい何があるのだろう。	うちゅうのはてには、いったいなにがあるのだろう。
ポイントカードの有効期限が、また気づかないうちに切れていた	ぽいんとかーどのゆうこうきげんが、またきづかないうちにきれていた
どんなに疲れた日でも、お風呂に入るとなんとなく明日への気力が戻ってくる	どんなにつかれたひでも、おふろにはいるとなんとなくあしたへのきりょくがもどってくる
東京特許許可局長が今日許可した特許の数は東京特許許可局史上最多だった	とうきょうとっきょきょかきょくちょうがきょうきょかしたとっきょのかずはとうきょうとっきょきょかきょくしじょうさいただった
青山山奥に青竹立てかけた、立てかけたかったから青竹立てかけた	あおやまやまおくにあおだけたてかけた、たてかけたかったからあおだけたてかけた
竹垣竹立てかけた、竹垣竹立てかけたかったから竹垣竹立てかけた	たけがきたけたてかけた、たけがきたけたてかけたかったからたけがきたけたてかけた
この釘は引き抜きにくい釘だ、あの釘も引き抜きにくい釘だ、どの釘も引き抜きにくい釘だ	このくぎはひきぬきにくいくぎだ、あのくぎもひきぬきにくいくぎだ、どのくぎもひきぬきにくいくぎだ
スモモも桃も桃のうち	すもももももももものうち
庭には二羽庭には二羽にわとりがいる	にわにはにわにわにはにわにわとりがいる
そうだ、京都へ行こう	そうだ、きょうとへいこう
あなたと、コンビニに行きたい	あなたと、こんびににいきたい
ココロも満タンに	こころもまんたんに
お口の恋人	おくちのこいびと
やっぱりステーキが好き	やっぱりすてーきがすき
全部、うまい	ぜんぶ、うまい
この感動を、あなたへ	このかんどうを、あなたへ
違いのわかる男	ちがいのわかるおとこ
美しい日本語に、出会える場所	うつくしいにほんごに、であえるばしょ
ひとつ上のビール	ひとつうえのびーる
玉ねぎを薄切りにして、バターで飴色になるまでじっくり炒める	たまねぎをうすぎりにして、ばたーであめいろになるまでじっくりいためる
沸騰したお湯に塩をひとつまみ加えて、パスタを表示時間より一分短めに茹でる	ふっとうしたおゆにしおをひとつまみくわえて、ぱすたをひょうじじかんよりいっぷんみじかめにゆでる
卵は冷蔵庫から出して、室温に戻してからボウルに割り入れる	たまごはれいぞうこからだして、しつおんにもどしてからぼうるにわりいれる
フライパンを強火で熱してから油をひき、煙が出始めたら肉を入れる	ふらいぱんをつよびでねっしてからあぶらをひき、けむりがではじめたらにくをいれる
大根は皮を厚めにむいて、面取りをしてから下茹でしておく	だいこんはかわをあつめにむいて、めんとりをしてからしたゆでしておく
合わせ調味料はあらかじめ混ぜておき、具材に火が通ったら一気に加えて手早く絡める	あわせちょうみりょうはあらかじめまぜておき、ぐざいにひがとおったらいっきにくわえててばやくからめる
生地を冷蔵庫で一時間以上休ませると、焼いたときにサクッとした食感になる	きじをれいぞうこでいちじかんいじょうやすませると、やいたときにさくっとしたしょっかんになる
出汁は沸騰させすぎず、昆布を取り出したあと弱火で鰹節をゆっくり煮出す	だしはふっとうさせすぎず、こんぶをとりだしたあとよわびでかつおぶしをゆっくりにだす
蒸し器がない場合は、深めのフライパンに水を張って蒸し板の代わりにすることができる	むしきがないばあいは、ふかめのふらいぱんにみずをはってむしいたのかわりにすることができる
仕上げにレモン汁を数滴たらすと、全体の味が引き締まって風味がぐっと増す	しあげにれもんじるをすうてきたらすと、ぜんたいのあじがひきしまってふうみがぐっとます
打った！大きい！これはホームランだ、スタンドに飛び込んだ！	うった！おおきい！これはほーむらんだ、すたんどにとびこんだ！
残り三秒、シュートを放つ、入った！劇的な逆転バスケットだ！	のこりさんびょう、しゅーとをはなつ、はいった！げきてきなぎゃくてんばすけっとだ！
コーナーキック、ヘディングで合わせた、ゴール！見事なチームプレーだ！	こーなーきっく、へでぃんぐであわせた、ごーる！みごとなちーむぷれーだ！
第四コーナーを抜けて最後の直線、先頭から抜け出した、そのまま押し切った！	だいよんこーなーをぬけてさいごのちょくせん、せんとうからぬけだした、そのままおしきった！
打ち返した、深い、追いつけるか、届いた、アウト！信じられないスーパープレーだ！	うちかえした、ふかい、おいつけるか、とどいた、あうと！しんじられないすーぱーぷれーだ！
わしが若い頃はな、電話といえば黒電話しかなかったんじゃよ	わしがわかいころはな、でんわといえばくろでんわしかなかったんじゃよ
最近の若いもんはすぐスマホばかり見て、もっと空を見上げてみなさいってもんじゃ	さいきんのわかいもんはすぐすまほばかりみて、もっとそらをみあげてみなさいってもんじゃ
いやあ、膝が痛くてかなわんわい、雨が降る前になると決まってうずくんじゃよ	いやあ、ひざがいたくてかなわんわい、あめがふるまえになるときまってうずくんじゃよ
なんやそれ、めっちゃおもろいやん	なんやそれ、めっちゃおもろいやん
ちょっと待ってえな、今すぐ行くから	ちょっとまってえな、いますぐいくから
それ、ほんまに言うてんの？信じられへんわ	それ、ほんまにいうてんの？しんじられへんわ
あかんあかん、そんなんしたら絶対怒られるで	あかんあかん、そんなんしたらぜったいおこられるで
なんでやねん、そこは笑うとこちゃうやろ	なんでやねん、そこはわらうとこちゃうやろ
えらいおいしそうやな、ひとつもらってもええか	えらいおいしそうやな、ひとつもらってもええか
知らんけど、たぶんそれで合うてると思うで	しらんけど、たぶんそれであうてるとおもうで
もうええわ、自分でやるから貸してみ	もうええわ、じぶんでやるからかしてみ
ほんまに助かったわ、おおきにな	ほんまにたすかったわ、おおきにな
どないしたん、なんか元気なさそうやけど	どないしたん、なんかげんきなさそうやけど
タコの心臓は三つあり、血液の色は青い	たこのしんぞうはみっつあり、けつえきのいろはあおい
カタツムリは同じ道を何度でも戻ることができる	かたつむりはおなじみちをなんどでももどることができる
バナナは植物学上、木ではなく草の一種に分類される	ばななはしょくぶつがくじょう、きではなくくさのいっしゅにぶんるいされる
人間の骨の半分以上は手と足に集中している	にんげんのほねのはんぶんいじょうはてとあしにしゅうちゅうしている
蜂蜜は何千年経っても腐らず、古代エジプトの墓からも食べられる状態で発見されている	はちみつはなんぜんねんたってもくさらず、こだいえじぷとのはかからもたべられるじょうたいではっけんされている
シャチはサメを怖がらせることができる唯一の海洋生物とされている	しゃちはさめをこわがらせることができるゆいいつのかいようせいぶつとされている
日本語の五十音は実際には四十六音しかない	にほんごのごじゅうおんはじっさいにはしじゅうろくおんしかない
象は唯一、ジャンプできない哺乳類とされている	ぞうはゆいいつ、じゃんぷできないほにゅうるいとされている
カメレオンが色を変えるのは主にコミュニケーションや体温調節のためで、擬態が目的ではない	かめれおんがいろをかえるのはおもにこみゅにけーしょんやたいおんちょうせつのためで、ぎたいがもくてきではない
一日に人間がまばたきする回数は平均して一万五千回から二万回ともいわれている	いちにちににんげんがまばたきするかいすうはへいきんしていちまんごせんかいからにまんかいともいわれている
地球上で最も高い山はエベレストだが、地球の中心から最も遠い地点にある山はエクアドルのチンボラソ山だ	ちきゅうじょうでもっともたかいやまはえべれすとだが、ちきゅうのちゅうしんからもっともとおいちてんにあるやまはえくあどるのちんぼらそさんだ
富士山は実は三つの火山が重なってできており、現在も活火山として分類されている	ふじさんはじつはみっつのかざんがかさなってできており、げんざいもかっかざんとしてぶんるいされている
アリは自分の体重の五十倍以上のものを持ち上げることができる	ありはじぶんのたいじゅうのごじゅうばいいじょうのものをもちあげることができる
人間の脳は一日に約七万個の思考を生み出すとも言われている	にんげんののうはいちにちにやくななまんこのしこうをうみだすともいわれている
カワウソは眠るとき、流されないように手を繋ぎ合って眠る	かわうそはねむるとき、ながされないようにてをつなぎあってねむる
クマムシは真空状態や放射線の中でも生き延びることができる	くまむしはしんくうじょうたいやほうしゃせんのなかでもいきのびることができる
猫がゴロゴロと喉を鳴らす振動数は、骨の修復を促進するといわれている周波数と近い	ねこがごろごろとのどをならすしんどうすうは、ほねのしゅうふくをそくしんするといわれているしゅうはすうとちかい
日本に流通している自動販売機の数は世界最多水準で、国民約二十人に一台の割合とされている	にほんにりゅうつうしているじどうはんばいきのかずはせかいさいたすいじゅんで、こくみんやくにじゅうにんにいちだいのわりあいとされている
アボカドはメキシコ原産の果物で、植物学的には大型の液果に分類される	あぼかどはめきしこげんさんのくだもので、しょくぶつがくてきにはおおがたのえきかにぶんるいされる
たけやぶやけた	たけやぶやけた
わたしまけましたわ	わたしまけましたわ
なかなか解けないよこの回文、解けないかなか	なかなかとけないよこのかいぶん、とけないかなか
寝坊した	ねぼうした
アーキテクチャ	あーきてくちゃ
インフラストラクチャー	いんふらすとらくちゃー
コミュニケーション	こみゅにけーしょん
ダッシュボード	だっしゅぼーど
パラダイムシフト	ぱらだいむしふと
フレームワーク	ふれーむわーく
プラットフォーム	ぷらっとふぉーむ
マーケティング	まーけてぃんぐ
リモートワーク	りもーとわーく
アルゴリズム	あるごりずむ
イノベーション	いのべーしょん
インタラクティブ	いんたらくてぃぶ
エンターテインメント	えんたーていんめんと
クリエイティブ	くりえいてぃぶ
コンプライアンス	こんぷらいあんす
サステナビリティ	さすてなびりてぃ
シミュレーション	しみゅれーしょん
ソリューション	そりゅーしょん
デジタルトランスフォーメーション	でじたるとらんすふぉーめーしょん
ナレッジマネジメント	なれっじまねじめんと
いい国作ろう鎌倉幕府	いいくにつくろうかまくらばくふ
鳴くよウグイス平安京	なくようぐいすへいあんきょう
円周率は産医師異国に向こう、3.14159265	えんしゅうりつはさんいしいこくにむこう、3.14159265
救急は今すぐ助けて、119番	きゅうきゅうはいますぐたすけて、119ばん
水兵リーベ僕の船、水素ヘリウムリチウムベリリウムホウ素炭素窒素酸素	すいへいりーべぼくのふね、すいそへりうむりちうむべりりうむほうそたんそちっそさんそ
富士山麓オウム鳴く	ふじさんろくおうむなく
東京都千代田区千代田1-1	とうきょうとちよだくちよだ1-1
継続は力なりって言うけど、三日坊主を何回も繰り返せば実質継続だと思う	けいぞくはちからなりっていうけど、みっかぼうずをなんかいもくりかえせばじっしつけいぞくだとおもう
押してもだめなら引いてみな、それでもだめなら説明書を読もう	おしてもだめならひいてみな、それでもだめならせつめいしょをよもう
冷蔵庫の奥から、賞味期限が三日過ぎたヨーグルトが発見された	れいぞうこのおくから、しょうみきげんがみっかすぎたよーぐるとがはっけんされた
天気雨のことを、狐の嫁入りと呼ぶ地方がある	てんきあめのことを、きつねのよめいりとよぶちほうがある
エレベーターの閉じるボタンは、押しても気持ちが落ち着くだけのことがある	えれべーたーのとじるぼたんは、おしてもきもちがおちつくだけのことがある
布団の中から出られないのは、意志が弱いのではなく布団が強いのだ	ふとんのなかからでられないのは、いしがよわいのではなくふとんがつよいのだ
シマウマは白地に黒縞か黒地に白縞か、いまだに議論がある	しまうまはしろじにくろじまかくろじにしろじまか、いまだにぎろんがある
電子レンジの残り一秒を止めるとき、なぜか爆弾解体の気分になる	でんしれんじののこりいちびょうをとめるとき、なぜかばくだんかいたいのきぶんになる
今日できることを明日に延ばすな、ただし夜更かしはその限りではない	きょうできることをあしたにのばすな、ただしよふかしはそのかぎりではない
旅の恥はかき捨てと言うが、写真は永遠に残る	たびのはじはかきすてというが、しゃしんはえいえんにのこる
週明けの月曜日は、なぜか荷物が多くなりがちだ	しゅうあけのげつようびは、なぜかにもつがおおくなりがちだ
コンビニの新作スイーツをつい買ってしまう	こんびにのしんさくすいーつをついかってしまう
夕飯の献立を考えるのが、一日で一番難しい仕事かもしれない	ゆうはんのこんだてをかんがえるのが、いちにちでいちばんむずかしいしごとかもしれない
洗濯機を回したまま出かけて、帰ってから思い出した	せんたくきをまわしたままでかけて、かえってからおもいだした
傘を電車に置き忘れるのは、これで今年三回目だ	かさをでんしゃにおきわすれるのは、これでことしさんかいめだ
靴下の毛玉を取っていたら、あっという間に一時間が過ぎていた	くつしたのけだまをとっていたら、あっというまにいちじかんがすぎていた
スーパーの試食コーナーで、つい足を止めてしまう	すーぱーのししょくこーなーで、ついあしをとめてしまう
湯たんぽのぬくもりは、冬の夜の小さな幸せだ	ゆたんぽのぬくもりは、ふゆのよるのちいさなしあわせだ
自動販売機の下に、五百円玉が落ちていた気がする	じどうはんばいきのしたに、ごひゃくえんだまがおちていたきがする
二度あることは三度あると言うが、寝坊は毎日ある	にどあることはさんどあるというが、ねぼうはまいにちある
窓を開けたら、金木犀の香りがした	まどをあけたら、きんもくせいのかおりがした
財布を忘れて店まで来てしまい、そっと棚に商品を戻した	さいふをわすれてみせまできてしまい、そっとたなにしょうひんをもどした
今電車乗った、あと十分で着くよ	いまでんしゃのった、あとじゅっぷんでつくよ
ごめん、既読つけたまま寝てた	ごめん、きどくつけたままねてた
今日の夜ご飯何がいい？	きょうのよるごはんなにがいい？
雨降ってきたから、迎えに来てもらえると助かる	あめふってきたから、むかえにきてもらえるとたすかる
充電切れそうだから、また後でかけ直すね	じゅうでんきれそうだから、またあとでかけなおすね
お手数をおかけしますが、何卒よろしくお願いいたします	おてすうをおかけしますが、なにとぞよろしくおねがいいたします
会議の日程を再調整させていただきたく、ご連絡いたしました	かいぎのにっていをさいちょうせいさせていただきたく、ごれんらくいたしました
先ほどの資料に誤りがありましたので、差し替え版をお送りします	さきほどのしりょうにあやまりがありましたので、さしかえばんをおおくりします
本件、承知いたしました。社内で確認のうえ回答いたします	ほんけん、しょうちいたしました。しゃないでかくにんのうえかいとういたします
恐れ入りますが、添付ファイルが開けないようです	おそれいりますが、てんぷふぁいるがひらけないようです
ご査収のほど、よろしくお願いいたします	ごさしゅうのほど、よろしくおねがいいたします
風が吹き抜けるたび、カーテンが静かに揺れた	かぜがふきぬけるたび、かーてんがしずかにゆれた
遠くで踏切の音が鳴り、やがて夜に溶けていった	とおくでふみきりのおとがなり、やがてよるにとけていった
古い喫茶店の扉を開けると、時間だけが止まっていた	ふるいきっさてんのとびらをあけると、じかんだけがとまっていた
星のない夜空の下で、二人は同じ沈黙を分け合った	ほしのないよぞらのしたで、ふたりはおなじちんもくをわけあった
ポケットの中の切符は、いつの間にか汗で湿っていた	ぽけっとのなかのきっぷは、いつのまにかあせでしめっていた
その手紙は、十年前の消印のまま引き出しに眠っていた	そのてがみは、じゅうねんまえのけしいんのままひきだしにねむっていた
キリンの首の骨の数は、人間と同じ七つしかない	きりんのくびのほねのかずは、にんげんとおなじななつしかない
ラッコは食事のとき、お気に入りの石をお腹の上で使う	らっこはしょくじのとき、おきにいりのいしをおなかのうえでつかう
パイナップルは木ではなく、地面近くの草になる	ぱいなっぷるはきではなく、じめんちかくのくさになる
ペンギンの膝は羽毛の中に隠れていて、実は足が長い	ぺんぎんのひざはうもうのなかにかくれていて、じつはあしがながい
トマトは冷蔵庫より常温のほうが甘みが保たれやすい	とまとはれいぞうこよりじょうおんのほうがあまみがたもたれやすい
虹の外側は必ず赤で、内側は必ず紫になっている	にじのそとがわはかならずあかで、うちがわはかならずむらさきになっている
日本で一番短い川は、和歌山県のぶつぶつ川である	にほんでいちばんみじかいかわは、わかやまけんのぶつぶつがわである
満月の夜は、サンゴが一斉に産卵することがある	まんげつのよるは、さんごがいっせいにさんらんすることがある
味噌汁は沸騰させると香りが飛ぶので、火を止めてから味噌を溶く	みそしるはふっとうさせるとかおりがとぶので、ひをとめてからみそをとく
ご飯を炊く前に三十分浸水させると、ふっくら炊き上がる	ごはんをたくまえにさんじゅっぷんしんすいさせると、ふっくらたきあがる
ハンバーグは中央をくぼませておくと、焼いたときに形が崩れにくい	はんばーぐはちゅうおうをくぼませておくと、やいたときにかたちがくずれにくい
天ぷらの衣は混ぜすぎず、氷水でさっくり合わせるのがコツ	てんぷらのころもはまぜすぎず、こおりみずでさっくりあわせるのがこつ
餃子は焼き色がついてから水を入れて、蓋をして蒸し焼きにする	ぎょうざはやきいろがついてからみずをいれて、ふたをしてむしやきにする
最終ラップ、三台が横一線、ゴールまで残り数メートル！	さいしゅうらっぷ、さんだいがよこいっせん、ごーるまでのこりすうめーとる！
大技が決まった！会場が一気に沸き上がる！	おおわざがきまった！かいじょうがいっきにわきあがる！
逆転のスリーポイント、ブザーと同時にリングを通過した！	ぎゃくてんのすりーぽいんと、ぶざーとどうじにりんぐをつうかした！
なんしよっと？暇なら手伝ってくれん？	なんしよっと？ひまならてつだってくれん？
これ、なまら美味いから食べてみて	これ、なまらうまいからたべてみて
そんなに慌てんでも、ぼちぼち行けばええがな	そんなにあわてんでも、ぼちぼちいけばええがな
明日は早いけん、もう寝るばい	あしたははやいけん、もうねるばい
右耳にミミズ、左耳にミミズク	みぎみみにみみず、ひだりみみにみみずく
夏はやっぱり冷やし中華、冬はやっぱり鍋焼きうどん	なつはやっぱりひやしちゅうか、ふゆはやっぱりなべやきうどん
